trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.96}",20,0,-73.28476403789507,"{0: 11, 1: 4, 2: 3, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.9199999999999999}",25,0,-163.7324578761966,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8799999999999999}",20,0,-182.29898865808696,"{0: 9, 1: 3, 2: 4, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.8399999999999999}",25,0,-128.52533025855564,"{0: 13, 1: 2, 2: 9, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-44.36808998773763,"{0: 11, 1: 7, 2: 2, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.7599999999999998}",25,0,-170.187692379939,"{0: 15, 1: 4, 2: 2, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.7199999999999998}",20,0,-163.97715604100665,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.6799999999999997}",30,15,-21.05064692162912,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.6399999999999997}",25,1,-121.41481950771028,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 2}",1
10,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-101.95515019942553,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.5599999999999996}",20,0,-78.5990139933148,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.5199999999999996}",30,9,-4.2030875360477005,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.4799999999999996}",20,0,-68.7972582792983,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.4399999999999996}",25,0,-153.40975071632005,"{0: 17, 1: 2, 2: 2, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,13,-7.638506538680631,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.35999999999999965}",20,11,-7.750038916544229,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.3199999999999997}",25,0,-52.08422496601936,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.2799999999999997}",25,3,-82.72230940056116,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 2}",1
19,False,"{'a': 0.5, 'e': 0.23999999999999969}",30,6,7.853904146666552,"{0: 20, 1: 4, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,2,-94.74800302799306,"{0: 17, 1: 2, 2: 1, 3: 1, 4: 2}",1
21,False,"{'a': 0.5, 'e': 0.15999999999999967}",25,18,1.7268431743517563,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.11999999999999966}",25,7,10.429545865311843,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.07999999999999965}",25,19,0.4148126992421002,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.039999999999999654}",30,17,-26.882119831265996,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",20,9,20.523907416469633,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,13,20.077085247758557,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,8,23.699740594381694,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,20,18.17286143097573,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,11,15.871859325380841,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,8,37.86387637205562,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",30,2,20.00702225837514,"{0: 27, 1: 0, 2: 0, 3: 1, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,7,24.820708408012667,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,7,23.61532692537086,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",30,16,21.757657185683893,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
