trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",25,0,-110.645428781871,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",30,0,-133.4763459897022,"{0: 17, 1: 3, 2: 6, 3: 4, 4: 0}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",25,0,-306.66421502413516,"{0: 7, 1: 4, 2: 7, 3: 3, 4: 4}",0
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",30,0,-92.8672259659708,"{0: 20, 1: 2, 2: 7, 3: 0, 4: 1}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",20,0,-135.5599491435965,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",30,0,-136.1963368714099,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",20,0,-172.91848857400515,"{0: 10, 1: 2, 2: 1, 3: 6, 4: 1}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",20,0,-119.96270874935648,"{0: 11, 1: 3, 2: 2, 3: 3, 4: 1}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",20,0,-153.074610110457,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
10,False,"{'a': 0.01, 'e': 0.9950041652780257}",25,0,-169.3692505376118,"{0: 13, 1: 6, 2: 3, 3: 0, 4: 3}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",30,0,-230.40279088882411,"{0: 14, 1: 3, 2: 7, 3: 4, 4: 2}",0
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",20,6,-36.79301272157126,"{0: 7, 1: 4, 2: 3, 3: 0, 4: 0}",1
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",25,0,-166.12246505808218,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",20,0,-58.98943482496067,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",25,10,-24.2636775653778,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",20,13,-10.563876745845361,"{0: 4, 1: 3, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",25,0,-168.13263357957402,"{0: 14, 1: 2, 2: 4, 3: 3, 4: 2}",0
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",25,0,-135.1713357724936,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
19,False,"{'a': 0.01, 'e': 0.9820042351172703}",20,0,-139.7404257533122,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
20,False,"{'a': 0.01, 'e': 0.9800665778412416}",25,12,-47.78329626706102,"{0: 7, 1: 2, 2: 3, 3: 1, 4: 0}",1
21,False,"{'a': 0.01, 'e': 0.9780309147241483}",30,0,-200.24277140141675,"{0: 15, 1: 5, 2: 7, 3: 0, 4: 3}",0
22,False,"{'a': 0.01, 'e': 0.9758974493306055}",25,0,-101.84851507618944,"{0: 16, 1: 4, 2: 2, 3: 2, 4: 1}",0
23,False,"{'a': 0.01, 'e': 0.9736663950053749}",20,0,-138.12424034822405,"{0: 9, 1: 3, 2: 5, 3: 2, 4: 1}",0
24,False,"{'a': 0.01, 'e': 0.9713379748520297}",25,9,-48.90662643799532,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 1}",1
25,False,"{'a': 0.01, 'e': 0.9689124217106447}",20,0,-96.88161818810333,"{0: 9, 1: 5, 2: 5, 3: 0, 4: 1}",0
26,False,"{'a': 0.01, 'e': 0.9663899781345132}",20,0,-144.6205786560228,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
27,False,"{'a': 0.01, 'e': 0.9637708963658905}",30,0,-160.05122527744166,"{0: 17, 1: 4, 2: 6, 3: 1, 4: 2}",0
28,False,"{'a': 0.01, 'e': 0.9610554383107709}",25,0,-146.58920014838654,"{0: 11, 1: 6, 2: 5, 3: 2, 4: 1}",0
29,False,"{'a': 0.01, 'e': 0.9582438755126972}",25,0,-119.56958251892755,"{0: 16, 1: 3, 2: 2, 3: 3, 4: 1}",0
30,False,"{'a': 0.01, 'e': 0.955336489125606}",20,0,-179.0375145057193,"{0: 9, 1: 3, 2: 3, 3: 3, 4: 2}",0
31,False,"{'a': 0.01, 'e': 0.9523335698857134}",20,15,8.846751794035086,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.01, 'e': 0.9492354180824408}",25,0,-174.9289473539044,"{0: 16, 1: 2, 2: 2, 3: 2, 4: 3}",0
33,False,"{'a': 0.01, 'e': 0.946042343528387}",30,0,-166.01455821784322,"{0: 17, 1: 2, 2: 7, 3: 3, 4: 1}",0
34,False,"{'a': 0.01, 'e': 0.9427546655283462}",20,0,-153.72084670899096,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
35,False,"{'a': 0.01, 'e': 0.9393727128473789}",25,0,-135.12884628768376,"{0: 13, 1: 2, 2: 8, 3: 1, 4: 1}",0
36,False,"{'a': 0.01, 'e': 0.9358968236779348}",20,0,-122.48712170815622,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
37,False,"{'a': 0.01, 'e': 0.9323273456060345}",30,0,-116.1052112159457,"{0: 20, 1: 4, 2: 4, 3: 0, 4: 2}",0
38,False,"{'a': 0.01, 'e': 0.9286646355765102}",20,0,-43.35011562070653,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
39,False,"{'a': 0.01, 'e': 0.9249090598573131}",20,0,-144.7074359011921,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
40,False,"{'a': 0.01, 'e': 0.9210609940028851}",25,0,-127.90073524351818,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
41,False,"{'a': 0.01, 'e': 0.9171208228166051}",20,0,-106.20410203376724,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
42,False,"{'a': 0.01, 'e': 0.9130889403123083}",20,11,-6.933660591322423,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
43,False,"{'a': 0.01, 'e': 0.9089657496748851}",20,5,-32.01474302249761,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
44,False,"{'a': 0.01, 'e': 0.9047516632199635}",30,0,-57.51039748029541,"{0: 21, 1: 4, 2: 4, 3: 1, 4: 0}",0
45,False,"{'a': 0.01, 'e': 0.9004471023526769}",25,15,-1.3933161857710088,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
46,False,"{'a': 0.01, 'e': 0.8960524975255253}",20,0,-60.812468970833415,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
47,False,"{'a': 0.01, 'e': 0.8915682881953289}",25,0,-37.78981802438299,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
48,False,"{'a': 0.01, 'e': 0.8869949227792842}",20,0,-82.36779008383857,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
49,False,"{'a': 0.01, 'e': 0.8823328586101216}",20,0,-96.68648296977503,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
50,False,"{'a': 0.01, 'e': 0.8775825618903728}",20,11,-38.64626259438974,"{0: 5, 1: 1, 2: 2, 3: 1, 4: 0}",1
51,False,"{'a': 0.01, 'e': 0.8727445076457513}",25,4,-71.74634479252293,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 1}",1
52,False,"{'a': 0.01, 'e': 0.8678191796776499}",20,0,-138.03616415444532,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
53,False,"{'a': 0.01, 'e': 0.862807070514761}",20,0,-80.7394624324787,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
54,False,"{'a': 0.01, 'e': 0.8577086813638242}",25,0,-108.95377948494223,"{0: 16, 1: 0, 2: 7, 3: 1, 4: 1}",0
55,False,"{'a': 0.01, 'e': 0.8525245220595057}",30,7,-164.1107441677353,"{0: 14, 1: 0, 2: 4, 3: 3, 4: 2}",1
56,False,"{'a': 0.01, 'e': 0.8472551110134161}",20,0,-85.65802707719514,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
57,False,"{'a': 0.01, 'e': 0.8419009751622687}",20,0,-77.91244168411612,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
58,False,"{'a': 0.01, 'e': 0.8364626499151869}",20,0,-95.35024462365486,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
59,False,"{'a': 0.01, 'e': 0.8309406791001634}",20,0,-73.33401947927426,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
